nNo
25
No    X0      X1    
0     0.00    0.00
1     3.00    0.00
2     6.00    0.00
3     9.00    0.00
4     1.50    1.50
5     4.50    1.50
6     7.50    1.50
7     0.00    3.00
8     3.00    3.00
9     6.00    3.00
10    9.00    3.00
11    1.50    4.50
12    4.50    4.50
13    7.50    4.50
14    0.00    6.00
15    3.00    6.00
16    6.00    6.00
17    9.00    6.00
18    1.50    7.50
19    4.50    7.50
20    7.50    7.50
21    0.00    9.00
22    3.00    9.00
23    6.00    9.00
24    9.00    9.00
